Team	Position	Height	Weight	month of Birth	Day of Birth	Year of Birth	Age	Place of Birth
panthers	C	6ft 0in	184	Jun	5	1986	28	Mimico, ON, Canada
panthers	R	6ft 0in	195	Apr	17	1982	32	Mississauga, ON, Canada
panthers	L	6ft 1in	192	May	16	1984	30	Koprivnice, Czech Republic
panthers	R	6ft 6in	221	Nov	21	1989	24	Boston, MA, USA
panthers	L	6ft 1in	188	Jun	4	1993	21	Saint-Jerome, QC, Canada
panthers	L	5ft 11in	198	Apr	1	1983	31	Kalajoki, Finland
panthers	R	6ft 3in	210	Feb	5	1982	32	Ilava, SVK
panthers	C	5ft 11in	181	Jun	11	1981	33	Sudbury, ON, Canada
panthers	C	6ft 0in	183	Apr	10	1991	23	Toronto, ON, Canada
panthers	L	6ft 2in	217	Jul	23	1977	37	Oshawa, ON, Canada
panthers	L	6ft 0in	200	Oct	7	1983	31	Fort McMurray, AB, Canada
panthers	X	5ft 10in	192	May	23	1979	35	Strathroy, ON, Canada
panthers	X	6ft 4in	216	Feb	7	1996	18	Windsor, ON, Canada
panthers	X	6ft 5in	216	Jan	7	1992	22	Ottawa, ON, Canada
panthers	X	6ft 1in	204	Oct	29	1990	23	Lipetsk, Russia
panthers	X	6ft 3in	210	Apr	23	1977	37	Port McNeill, BC, Canada
panthers	X	6ft 2in	223	Jan	3	1991	23	Salt Lake City, UT, USA
panthers	X	6ft 3in	194	Apr	24	1990	24	Dauphin, MB, Canada
panthers	X	6ft 3in	217	Apr	4	1979	35	Montreal, QC, Canada
panthers	X	6ft 2in	203	Feb	13	1985	29	Chicago, IL, USA
Canadiens	L	5ft 11in	195	May	31	1992	22	Shawinigan, QC, Canada
Canadiens	R	6ft 2in	214	Dec	10	1981	32	Lac La Biche, AB, Canada
Canadiens	C	5ft 7in	176	Sep	14	1986	28	Laurier-Station, QC, Canada
Canadiens	C	6ft 2in	209	May	8	1989	25	Rodovre, Denmark
Canadiens	C	6ft 1in	198	Feb	12	1994	20	Milwaukee, WI, USA
Canadiens	R	5ft 9in	182	May	6	1992	22	Edmonton, AB, Canada
Canadiens	C	6ft 2in	207	May	18	1980	34	Mississauga, ON, Canada
Canadiens	L	6ft 2in	212	Apr	6	1982	32	Stewart Valley, SK, Canada
Canadiens	L	6ft 2in	214	Nov	20	1988	25	New Canadaaan, CT, USA
Canadiens	R	6ft 0in	197	Mar	24	1983	31	Hull, QC, Canada
Canadiens	C	5ft 11in	198	Oct	31	1982	31	Kladno, Czech Republic
Canadiens	L	6ft 0in	195	Mar	16	1984	30	London, ON, Canada
Canadiens	L	6ft 2in	195	Jun	10	1992	22	Kladno, Czech Republic
Canadiens	R	6ft 2in	205	Aug	5	1988	26	Winnipeg, MB, Canada
Canadiens	X	6ft 2in	194	Dec	5	1992	21	Strathroy, ON, Canada
Canadiens	X	6ft 2in	217	Apr	25	1986	28	Togliatti, Russia
Canadiens	X	6ft 2in	204	Jan	10	1983	31	Bloomington, MN, USA
Canadiens	X	6ft 0in	197	Dec	20	1978	35	Voskresensk, Russia
Canadiens	X	6ft 0in	214	May	13	1989	25	Toronto, ON, Canada
Canadiens	X	6ft 6in	225	Feb	20	1992	22	Burnsville, MN, USA
Canadiens	X	5ft 10in	186	May	2	1978	36	Brampton, ON, Canada
Canadiens	X	6ft 3in	216	Aug	16	1987	27	Anahim Lake, BC, Canada
Canadiens	X	5ft 11in	195	Sep	16	1989	25	Watson, SK, Canada
devils	R	5ft 11in	185	Mar	9	1986	28	Zürich, CHE
devils	L	5ft 9in	190	Jun	8	1982	32	Richmond Hill, ON, Canada
devils	L	6ft 3in	225	Sep	30	1982	32	St. Johnfts, NL, Canada
devils	C	6ft 1in	195	Apr	13	1976	38	Trebic, Czech Republic
devils	C	5ft 7in	185	Oct	9	1983	31	Rochester, NY, USA
devils	L	6ft 2in	210	Apr	19	1981	33	Mlada Boleslav, Czech Republic
devils	C	6ft 0in	195	Feb	6	1990	24	Brantford, ON, Canada
devils	R	6ft 3in	230	Feb	15	1972	42	Kladno, Czech Republic
devils	C	6ft 1in	190	Mar	2	1991	23	Stockholm, Sweden
devils	L	6ft 0in	205	Feb	16	1983	31	Vantaa, Finland
devils	R	6ft 1in	200	Mar	31	1980	34	Bonavista, NL, Canada
devils	R	5ft 9in	195	Feb	2	1983	31	Churchill, MB, Canada
devils	C	6ft 3in	205	May	13	1985	29	Winnipeg, MB, Canada
devils	L	6ft 5in	225	Jun	16	1978	36	Elektrenai, LTU
devils	X	6ft 4in	215	May	8	1991	23	Vanier, ON, Canada
devils	X	5ft 11in	190	Oct	30	1982	31	Trenton, MI, USA
devils	X	6ft 3in	205	Nov	12	1992	21	Skellefteå, Sweden
devils	X	6ft 3in	205	Feb	3	1992	22	Oklahoma City, OK, USA
devils	X	6ft 3in	215	Feb	11	1976	38	Brandon, MB, Canada
devils	X	6ft 2in	205	Aug	7	1994	20	Brandon, MB, Canada
devils	X	5ft 11in	190	Feb	3	1977	37	Most, Czech Republic
devils	X	6ft 2in	200	Jul	23	1977	37	Des Moines, IA, USA
devils	X	6ft 2in	205	Mar	18	1986	28	Marblehead, MA, USA
islanders	L	6ft 1in	194	Oct	2	1989	25	Bowmanville, ON, Canada
islanders	L	6ft 0in	225	Aug	17	1976	38	Halifax, NS, Canada
islanders	C	5ft 11in	201	Feb	27	1991	23	Toronto, ON, Canada
islanders	R	5ft 11in	215	Nov	18	1987	26	Welland, ON, Canada
islanders	C	5ft 8in	182	Dec	14	1989	24	Burlington, ON, Canada
islanders	R	6ft 1in	202	Oct	5	1987	27	Villach, Austria
islanders	C	5ft 11in	183	Jan	31	1984	30	Potsdam, DEU
islanders	L	6ft 1in	226	Jul	14	1986	28	Magnitogorsk, Russia
islanders	C	6ft 3in	227	Jul	3	1990	24	Edina, MN, USA
islanders	L	6ft 3in	215	May	8	1989	25	Windsor, ON, Canada
islanders	C	6ft 3in	206	Oct	15	1991	23	Warroad, MN, USA
islanders	C	6ft 1in	190	Apr	24	1984	30	Herning, Denmark
islanders	R	6ft 0in	217	Apr	16	1988	26	St. Paul, MN, USA
islanders	C	6ft 1in	196	Jul	11	1993	21	Mississauga, ON, Canada
islanders	C	6ft 1in	209	Sep	20	1990	24	Mississauga, ON, Canada
islanders	X	6ft 2in	225	Jan	19	1984	30	Edmonton, AB, Canada
islanders	X	6ft 5in	233	Nov	3	1980	33	Winchester, ON, Canada
islanders	X	6ft 1in	205	May	9	1990	24	Edmond, OK, USA
islanders	X	6ft 2in	217	Aug	16	1990	24	St. Malo, MB, Canada
islanders	X	6ft 0in	190	Feb	8	1989	25	Calgary, AB, Canada
islanders	X	6ft 0in	194	Mar	20	1991	23	Eden Prairie, MN, USA
islanders	X	6ft 1in	209	Jan	4	1988	26	Waltham, MA, USA
islanders	X	5ft 10in	192	Aug	11	1976	38	TopolCanaday, SVK
islanders	X	6ft 1in	193	May	9	1991	23	Carp, ON, Canada
islanders	X	5ft 11in	186	May	13	1985	29	Bratislava, SVK
islanders	X	6ft 3in	193	Jun	10	1986	28	Saskatoon, SK, Canada
rangers	C	6ft 1in	202	Sep	22	1987	27	Hull, QC, Canada
rangers	L	5ft 11in	185	Aug	26	1995	19	Pointe-Claire, QC, Canada
rangers	L	6ft 1in	210	Nov	29	1983	30	Regina, SK, Canada
rangers	L	5ft 11in	186	Aug	23	1988	26	Sodertalje, Sweden
rangers	R	6ft 5in	225	May	8	1992	22	Boston, MA, USA
rangers	L	6ft 3in	226	Apr	30	1991	23	Boxford, MA, USA
rangers	L	6ft 4in	224	Dec	1	1979	34	Pittsburgh, PA, USA
rangers	C	6ft 0in	192	Aug	3	1980	34	Thornhill, ON, Canada
rangers	C	5ft 11in	210	Mar	6	1986	28	West Seneca, NY, USA
rangers	L	6ft 4in	220	Jun	16	1984	30	Brampton, ON, Canada
rangers	R	5ft 8in	180	Jun	18	1975	39	Laval, QC, Canada
rangers	R	5ft 11in	196	Feb	4	1983	31	West Seneca, NY, USA
rangers	C	6ft 0in	196	Jun	18	1990	24	Hastings, MN, USA
rangers	L	5ft 7in	179	Sep	1	1987	27	Oslo, NOR
rangers	X	5ft 11in	190	Jul	12	1976	38	Ottawa, ON, Canada
rangers	X	6ft 1in	203	Apr	29	1984	30	Welland, ON, Canada
rangers	X	5ft 11in	190	May	21	1985	29	Warren, MI, USA
rangers	X	6ft 1in	199	Dec	13	1984	29	Kitchener, ON, Canada
rangers	X	6ft 1in	210	Nov	28	1985	28	Etobicoke, ON, Canada
rangers	X	6ft 1in	213	Jun	13	1989	25	St. Paul, MN, USA
rangers	X	6ft 3in	202	Nov	19	1990	23	Winnetka, IL, USA
rangers	X	6ft 4in	207	Jan	13	1987	27	Thunder Bay, ON, Canada
rangers	X	6ft 1in	188	Mar	2	1982	32	Are, Sweden
rangers	X	6ft 3in	195	Jul	5	1987	27	Caledonia, ON, Canada
senators	R	6ft 4in	205	Oct	1	1990	24	Montreal, QC, Canada
senators	R	6ft 0in	190	Aug	6	1986	28	Trenton, MI, USA
senators	L	6ft 3in	210	Mar	9	1986	28	St. Johnfts, NL, Canada
senators	L	6ft 0in	185	Nov	24	1989	24	Kitchener, ON, Canada
senators	C	6ft 0in	196	Feb	2	1995	19	Salmon Arm, BC, Canada
senators	C	6ft 2in	205	Aug	17	1980	34	Detroit, MI, USA
senators	L	6ft 0in	195	Apr	6	1985	29	Lloydminster, AB, Canada
senators	L	6ft 2in	216	Dec	7	1984	29	Jindrichuv Hradec, Czech Republic
senators	R	6ft 1in	215	Jun	18	1979	35	Flesherton, ON, Canada
senators	R	6ft 2in	207	Mar	17	1987	27	Cherry Hill, NJ, USA
senators	C	6ft 2in	210	Apr	5	1988	26	Maple Creek, SK, Canada
senators	R	6ft 2in	205	May	13	1992	22	Winnipeg, MB, Canada
senators	C	6ft 1in	191	Aug	14	1989	25	New Westminster, BC, Canada
senators	C	6ft 2in	211	Apr	18	1993	21	Stockholm, Sweden
senators	X	6ft 2in	205	Jul	12	1989	25	Ottawa, ON, Canada
senators	X	6ft 3in	209	Dec	21	1993	20	Ottawa, ON, Canada
senators	X	6ft 5in	228	Jan	25	1991	23	Saskatoon, SK, Canada
senators	X	6ft 4in	225	Apr	14	1988	26	Saskatoon, SK, Canada
senators	X	6ft 0in	180	May	31	1990	24	Landsbro, Sweden
senators	X	6ft 3in	230	Jun	21	1985	29	Ottawa, ON, Canada
senators	X	6ft 3in	220	Mar	9	1978	36	Calgary, AB, Canada
senators	X	6ft 5in	206	Sep	12	1990	24	Burnaby, BC, Canada
senators	X	6ft 2in	184	May	21	1981	33	Park Ridge, IL, USA
senators	X	6ft 5in	225	Jul	24	1991	23	Gothenburg, Sweden
flyers	R	5ft 10in	190	Jun	3	1990	24	Ottawa, ON, Canada
flyers	L	6ft 0in	198	Mar	6	1985	29	Le Blanc-Mesnil, FRA
flyers	C	6ft 3in	197	Dec	7	1992	21	Phoenix, AZ, USA
flyers	C	5ft 11in	172	Jan	12	1988	26	Hearst, ON, Canada
flyers	C	6ft 2in	216	Sep	27	1986	28	Central Butte, SK, Canada
flyers	C	6ft 4in	215	Apr	21	1980	34	Ile Bizard, QC, Canada
flyers	L	6ft 0in	195	Dec	1	1988	25	Villach, Austria
flyers	R	5ft 10in	185	Jun	14	1986	28	Ilderton, ON, Canada
flyers	C	5ft 11in	169	Jun	15	1990	24	Mississauga, ON, Canada
flyers	C	6ft 1in	190	Aug	22	1991	23	Saskatoon, SK, Canada
flyers	R	6ft 2in	183	Aug	26	1988	26	Scarborough, ON, Canada
flyers	C	6ft 2in	214	May	3	1982	32	Pittsburgh, PA, USA
flyers	C	6ft 2in	190	Mar	15	1987	27	Moorhead, MN, USA
flyers	R	6ft 2in	214	Aug	15	1989	25	Kladno, Czech Republic
flyers	X	6ft 5in	220	Feb	27	1985	29	Shaunavon, SK, Canada
flyers	X	6ft 0in	195	Jun	24	1990	24	Stouffville, ON, Canada
flyers	X	6ft 4in	230	Jan	22	1985	29	Stockholm, Sweden
flyers	X	6ft 1in	190	Sep	7	1986	28	Judique, NS, Canada
flyers	X	6ft 6in	220	Oct	10	1974	40	Dryden, ON, Canada
flyers	X	6ft 2in	229	Nov	2	1989	24	Saskatoon, SK, Canada
flyers	X	6ft 1in	203	Aug	25	1982	32	Strasbourg, SK, Canada
flyers	X	5ft 11in	191	Dec	11	1977	36	Bern, CHE
flyers	X	6ft 2in	196	Sep	28	1982	32	Hamilton, ON, Canada
flyers	X	6ft 4in	217	May	29	1988	26	Oakville, ON, Canada
penguins	R	6ft 0in	200	Apr	26	1977	37	Seria, BRN
penguins	R	6ft 2in	195	Nov	27	1991	22	Gardena, CA, USA
penguins	L	6ft 1in	202	Feb	18	1986	28	Meadow Lake, SK, Canada
penguins	C	5ft 11in	200	Aug	7	1987	27	Cole Harbour, NS, Canada
penguins	R	5ft 11in	191	Apr	3	1987	27	Newmarket, ON, Canada
penguins	R	6ft 1in	205	Apr	7	1979	35	Laval, QC, Canada
penguins	C	6ft 1in	197	Aug	24	1983	31	Calw, DEU
penguins	R	5ft 11in	189	Jan	1	1987	27	Sollentuna, Sweden
penguins	L	6ft 0in	195	Sep	26	1979	35	Regina, SK, Canada
penguins	C	6ft 3in	195	Jul	31	1986	28	Magnitogorsk, Russia
penguins	C	6ft 0in	202	May	24	1988	26	Truro, NS, Canada
penguins	C	6ft 1in	201	Sep	19	1988	26	Palmerston, ON, Canada
penguins	C	6ft 3in	190	Feb	14	1989	25	Huntington, NY, USA
penguins	X	6ft 4in	215	Mar	18	1989	25	Thunder Bay, ON, Canada
penguins	X	6ft 4in	214	Jul	27	1991	23	Laval, QC, Canada
penguins	X	6ft 2in	205	Jul	6	1982	32	Moers, DEU
penguins	X	6ft 0in	201	Apr	24	1987	27	Montreal, QC, Canada
penguins	X	6ft 2in	206	Aug	22	1994	20	Jyväskylä, Finland
penguins	X	6ft 1in	200	Mar	5	1981	33	Minneapolis, MN, USA
penguins	X	6ft 1in	212	Dec	30	1978	35	Syosset, NY, USA
penguins	X	6ft 2in	180	Nov	28	1984	29	Sorel, QC, Canada
penguins	X	6ft 1in	220	Jan	29	1986	28	Fussen, DEU
lightning	C	6ft 7in	244	Dec	18	1984	29	Hingham, MA, USA
lightning	R	5ft 10in	170	Jul	2	1990	24	Burnsville, MN, USA
lightning	R	5ft 11in	190	Mar	21	1985	29	Rochester, NY, USA
lightning	R	6ft 2in	181	May	2	1992	22	Campbell River, BC, Canada
lightning	L	5ft 11in	186	Mar	28	1995	19	Ste-Agathe, QC, Canada
lightning	C	6ft 0in	195	Mar	20	1984	30	Vantaa, Finland
lightning	C	5ft 9in	182	Jul	29	1990	24	Spokane, WA, USA
lightning	C	6ft 2in	205	Sep	14	1989	25	Halifax, NS, Canada
lightning	R	5ft 11in	171	Jun	17	1993	21	Moscow, Russia
lightning	L	6ft 0in	205	Jan	16	1979	35	Carlyle, SK, Canada
lightning	C	5ft 11in	171	Nov	22	1992	21	Zhukovskiy, Russia
lightning	L	6ft 0in	180	Mar	28	1991	23	Frydek-Mistek, Czech Republic
lightning	C	6ft 1in	198	Aug	13	1993	21	Gaspe, QC, Canada
lightning	C	6ft 0in	190	Feb	7	1990	24	Markham, ON, Canada
lightning	X	6ft 1in	185	Mar	23	1990	24	Montreal, QC, Canada
lightning	X	6ft 4in	216	Apr	17	1979	35	Vernon, BC, Canada
lightning	X	6ft 0in	205	Sep	25	1984	30	Anchorage, AK, USA
lightning	X	6ft 2in	218	Nov	13	1984	29	White Rock, BC, Canada
lightning	X	6ft 0in	204	Jun	5	1990	24	Prague, Czech Republic
lightning	X	6ft 6in	233	Dec	18	1990	23	Ornskoldsvik, Sweden
lightning	X	6ft 4in	233	Sep	9	1976	38	Pitea, Sweden
lightning	X	5ft 11in	190	Aug	1	1986	28	Tibro, Sweden
lightning	X	6ft 8in	225	Nov	29	1990	23	Plzen, Czech Republic
lightning	X	6ft 7in	214	Nov	21	1986	27	Denver, CO, USA
lightning	X	6ft 0in	202	Jul	25	1975	39	Kamenogorsk, KAZ
mapleleafs	R	6ft 3in	215	Apr	1	1991	23	Winnipeg, MB, Canada
mapleleafs	L	6ft 0in	212	Nov	24	1984	29	Detroit, MI, USA
mapleleafs	C	6ft 1in	195	Mar	19	1986	28	Regina, SK, Canada
mapleleafs	R	6ft 1in	200	Mar	31	1984	30	Toronto, ON, Canada
mapleleafs	R	6ft 0in	205	Jan	3	1988	26	Edmonton, AB, Canada
mapleleafs	C	6ft 2in	194	Jan	14	1991	23	Toronto, ON, Canada
mapleleafs	C	6ft 0in	188	Oct	6	1990	24	London, ON, Canada
mapleleafs	R	6ft 0in	202	Oct	2	1987	27	Madison, WI, USA
mapleleafs	C	5ft 11in	198	Jan	23	1987	27	Narva, EST
mapleleafs	R	5ft 8in	167	Mar	8	1990	24	Los Angeles, CA, USA
mapleleafs	L	6ft 1in	206	Sep	23	1983	31	Fort Saskatchewan, AB, Canada
mapleleafs	L	6ft 5in	230	Oct	29	1987	26	Winnipeg, MB, Canada
mapleleafs	R	6ft 1in	208	Feb	7	1991	23	Martin, SVK
mapleleafs	C	6ft 0in	189	Dec	14	1985	28	Vancouver, BC, Canada
mapleleafs	C	6ft 2in	207	Mar	6	1985	29	Toronto, ON, Canada
mapleleafs	L	6ft 3in	200	May	4	1989	25	Middletown, NJ, USA
mapleleafs	X	6ft 5in	213	Aug	8	1987	27	Sicamous, BC, Canada
mapleleafs	X	6ft 2in	184	Jul	4	1990	24	Minnetonka, MN, USA
mapleleafs	X	6ft 1in	187	Nov	16	1992	21	Sodertalje, Sweden
mapleleafs	X	6ft 1in	187	May	18	1993	21	Oakville, ON, Canada
mapleleafs	X	6ft 3in	214	Apr	10	1985	29	Edmonton, AB, Canada
mapleleafs	X	6ft 0in	236	Apr	28	1986	28	Ostrava, Czech Republic
mapleleafs	X	6ft 1in	205	Mar	9	1994	20	Vancouver, BC, Canada
mapleleafs	X	5ft 11in	190	Mar	3	1977	37	Sherbrooke, QC, Canada
mapleleafs	X	6ft 0in	185	Aug	7	1988	26	Laval, QC, Canada
mapleleafs	X	6ft 2in	208	Mar	15	1988	26	Morweena, MB, Canada
capitals	C	6ft 1in	208	Nov	23	1987	26	Gävle, Sweden
capitals	R	6ft 3in	215	Oct	16	1985	29	Calgary, AB, Canada
capitals	R	6ft 3in	213	Aug	17	1985	29	Vancouver, BC, Canada
capitals	C	6ft 2in	215	Feb	3	1991	23	Flower Mound, TX, USA
capitals	L	6ft 1in	178	Feb	9	1995	19	Klagenfurt, Austria
capitals	L	6ft 3in	213	May	2	1979	35	Edmonton, AB, Canada
capitals	R	6ft 4in	212	Sep	7	1985	29	Winkler, MB, Canada
capitals	C	6ft 1in	205	Oct	6	1990	24	Landskrona, Sweden
capitals	C	6ft 0in	172	May	19	1992	22	Chelyabinsk, Russia
capitals	C	6ft 2in	210	Jun	23	1983	31	Wawota, SK, Canada
capitals	C	6ft 0in	209	May	25	1991	23	Kitchener, ON, Canada
capitals	C	6ft 1in	205	Jul	29	1994	20	Halifax, NS, Canada
capitals	R	6ft 3in	230	Sep	17	1985	29	Moscow, Russia
capitals	R	6ft 1in	226	Dec	2	1980	33	North York, ON, Canada
capitals	X	6ft 2in	217	Sep	24	1988	26	Burnaby, BC, Canada
capitals	X	6ft 3in	212	Jan	10	1990	24	Natick, MA, USA
capitals	X	6ft 4in	220	Jun	26	1980	34	Kingston, ON, Canada
capitals	X	6ft 1in	207	Oct	12	1985	29	Calgary, AB, Canada
capitals	X	5ft 10in	190	Jan	24	1986	28	Minnetonka, MN, USA
capitals	X	6ft 0in	209	Dec	6	1986	27	Virginia, MN, USA
capitals	X	6ft 2in	219	Sep	26	1980	34	San Francisco, CA, USA
capitals	X	6ft 0in	194	Jul	16	1991	23	St. Cloud, MN, USA
capitals	X	6ft 2in	203	Sep	16	1989	25	Lloydminster, SK, Canada
capitals	X	6ft 1in	210	Aug	30	1986	28	Blyth, ON, Canada
